area,year,type,Total All Jobs,Age 29 or younger,Age 30 to 54,Age 55 or older,"$1,250 per month or less","$1,251 to $3,333 per month","More than $3,333 per month","Agriculture, Forestry, Fishing and Hunting","Mining, Quarrying, and Oil and Gas Extraction",Utilities,Construction,Manufacturing,Wholesale Trade,Retail Trade,Transportation and Warehousing,Information,Finance and Insurance,Real Estate and Rental and Leasing,"Professional, Scientific, and Technical Services",Management of Companies and Enterprises,"Administration & Support, Waste Management and Remediation",Educational Services,Health Care and Social Assistance,"Arts, Entertainment, and Recreation",Accommodation and Food Services,Other Services (excluding Public Administration),Public Administration,White Alone,Black or African American Alone,American Indian or Alaska Native Alone,Asian Alone,Native Hawaiian or Other Pacific Islander Alone,Two or More Race Groups,Not Hispanic or Latino,Hispanic or Latino,Less than high school,"High school or equivalent, no college",Some college or Associate degree,Bachelor's degree or advanced degree,Educational attainment not available (workers aged 29 or younger),Male,Female
work,2013,Share,1,0.179641485,0.59606274,0.224295775,0.233322663,0.30528169,0.461395647,9.60307E-05,0,9.60307E-05,0.061491677,0.058642766,0.045710627,0.045006402,0.047855314,0.062067862,0.154065301,0.018053777,0.051600512,0.002176697,0.106946223,0.042893726,0.148207426,0.004577465,0.024359795,0.020678617,0.105473752,0.678072983,0.274423816,0.002944942,0.032554417,0.000736236,0.011267606,0.937419974,0.062580026,0.08153009,0.210659411,0.268886044,0.259282971,0.179641485,0.518213828,0.481786172
work,2012,Count,31089,5377,18790,6922,5834,10102,15153,0,0,3,1932,1839,1437,1380,1666,2210,4255,549,1554,105,3228,1350,4576,148,920,821,3116,21301,8358,93,952,37,348,29125,1964,2507,6812,8344,8049,5377,16185,14904
work,2012,Share,1,0.172955064,0.604393837,0.222651098,0.187654798,0.324938081,0.487407121,0,0,9.64972E-05,0.062144167,0.059152755,0.046222136,0.044388691,0.053588086,0.071086236,0.136865129,0.017658979,0.049985525,0.0033774,0.103830937,0.043423719,0.147190325,0.004760526,0.02959246,0.026408054,0.100228377,0.685161954,0.268841069,0.002991412,0.030621763,0.001190132,0.01119367,0.93682653,0.06317347,0.080639454,0.21911287,0.268390749,0.258901862,0.172955064,0.520602142,0.479397858
work,2011,Count,29576,5335,18172,6069,5565,10830,13181,4,0,3,1736,1860,1246,1486,1100,2377,4134,979,1315,96,2699,1013,4687,109,831,951,2950,20428,7799,102,915,30,302,27731,1845,2467,6363,7878,7533,5335,15162,14414
work,2011,Share,1,0.180382743,0.614417095,0.205200162,0.188159318,0.366175277,0.445665404,0.000135245,0,0.000101434,0.05869624,0.062888829,0.042128753,0.050243441,0.037192318,0.080369218,0.139775494,0.033101163,0.044461726,0.003245875,0.091256424,0.034250744,0.158473086,0.003685421,0.028097106,0.03215445,0.099743035,0.690695158,0.263693535,0.003448742,0.030937246,0.001014336,0.010210982,0.937618339,0.062381661,0.083412226,0.215140655,0.26636462,0.254699757,0.180382743,0.512645388,0.487354612
work,2010,Count,28217,5313,17323,5581,5134,10689,12394,1,0,21,1777,1882,1271,1751,1104,2572,4054,570,1061,64,1929,921,4678,112,913,695,2841,19671,7302,92,835,23,294,26390,1827,2247,5910,7530,7217,5313,14444,13773
work,2010,Share,1,0.188290747,0.613920686,0.197788567,0.181947053,0.37881419,0.439238757,3.54396E-05,0,0.000744232,0.06297622,0.066697381,0.045043768,0.06205479,0.03912535,0.091150725,0.143672254,0.020200588,0.037601446,0.002268136,0.068363044,0.032639898,0.165786583,0.003969238,0.032356381,0.024630542,0.100683985,0.697132934,0.258780168,0.003260446,0.02959209,0.000815111,0.010419251,0.935251799,0.064748201,0.079632845,0.209448205,0.266860403,0.2557678,0.188290747,0.511889995,0.488110005
work,2009,Count,28933,5664,17910,5359,7264,11026,10643,2,0,1,1644,1980,961,1568,1133,2762,4522,530,1342,175,2220,898,4625,147,757,712,2954,19932,7717,99,847,20,318,27144,1789,2131,5928,7725,7485,5664,14485,14448
work,2009,Share,1,0.195762624,0.619016348,0.185221028,0.2510628,0.38108734,0.36784986,6.91252E-05,0,3.45626E-05,0.056820931,0.068433968,0.033214668,0.054194173,0.039159437,0.095461929,0.156292123,0.018318183,0.046383023,0.006048457,0.076728995,0.031037224,0.159852072,0.005080704,0.026163896,0.024608578,0.10209795,0.688901946,0.266719663,0.003421698,0.029274531,0.000691252,0.01099091,0.93816749,0.06183251,0.073652922,0.204887153,0.266996164,0.258701137,0.195762624,0.500639408,0.499360592
work,2008,Count,32715,6915,19893,5907,6220,12360,14135,0,0,10,2133,2016,1219,2023,1190,2798,5132,631,1517,226,2828,1036,4792,117,931,1134,2982,,,,,,,,,,,,,,,
work,2008,Share,1,0.211370931,0.608069693,0.180559376,0.190126853,0.377808345,0.432064802,0,0,0.00030567,0.06519945,0.061623109,0.037261195,0.061837078,0.036374752,0.085526517,0.156869937,0.019287788,0.046370167,0.006908146,0.086443527,0.031667431,0.146477151,0.003576341,0.028457894,0.034662999,0.091150848,,,,,,,,,,,,,,,
work,2007,Count,31797,6689,19573,5535,6344,12575,12878,0,0,15,2299,1832,1154,2060,1193,1968,5066,663,1302,268,3073,966,4837,90,801,1104,3106,,,,,,,,,,,,,,,
work,2007,Share,1,0.210365758,0.615561216,0.174073026,0.199515678,0.395477561,0.405006762,0,0,0.000471743,0.072302418,0.057615498,0.036292732,0.064785986,0.037519263,0.061892631,0.159323207,0.020851024,0.040947259,0.008428468,0.096644338,0.030380225,0.152121269,0.002830456,0.025191056,0.034720257,0.097682171,,,,,,,,,,,,,,,
work,2006,Count,30317,6615,18445,5257,6581,11785,11951,0,45,21,2389,1907,1400,2065,1063,2346,4128,516,1415,241,3246,918,3815,105,894,1075,2728,,,,,,,,,,,,,,,
work,2006,Share,1,0.218194412,0.608404526,0.173401062,0.217072929,0.388725797,0.394201273,0,0.001484316,0.000692681,0.078800673,0.062902002,0.046178712,0.0681136,0.035062836,0.077382327,0.13616123,0.017020154,0.046673484,0.007949335,0.107068641,0.030280041,0.125836989,0.003463403,0.029488406,0.035458654,0.089982518,,,,,,,,,,,,,,,
work,2005,Count,29080,5933,18411,4736,6195,11548,11337,0,0,21,2297,2067,1428,2152,1106,2343,2178,450,1168,304,2510,898,4880,85,1012,983,3198,,,,,,,,,,,,,,,
work,2005,Share,1,0.204023384,0.633115543,0.162861073,0.213033012,0.397111417,0.389855571,0,0,0.000722146,0.078988996,0.07107978,0.049105915,0.074002751,0.038033012,0.080570839,0.074896836,0.015474553,0.040165062,0.01045392,0.086313618,0.03088033,0.16781293,0.002922971,0.03480055,0.033803301,0.10997249,,,,,,,,,,,,,,,
work,2004,Count,26847,5540,17017,4290,6048,10642,10157,0,55,18,2268,2011,1156,2076,1089,2185,1298,530,1125,331,2340,765,4598,79,1119,891,2913,,,,,,,,,,,,,,,
